Code	N_Case	N_Control	Pct_NoChildren_Case	Pct_NoChildren_Control
1135	20	33329	35.0	18.77644093732185
2	5	33355	60.0	17.199820116924
2029	566	32776	22.791519434628977	19.08103490358799
2030	936	32420	20.405982905982906	19.478716841455892
2052	1239	32076	14.769975786924938	19.276094276094277
3437	726	32605	20.385674931129476	20.11654654194142
3543	5298	28068	18.176670441676105	19.516887558785807
3603	1472	31896	17.595108695652172	19.47893152746426
3666	8060	25291	16.451612903225808	19.91617571468111
3669	10027	23317	15.767427944549716	18.61302912038427
3670	10408	22945	16.06456571867794	19.524950969710176
3671	8467	24876	17.59773237274123	19.41630487216594
3675	7757	25597	14.825319066649477	19.428057975544007
3685	9110	24277	15.70801317233809	19.784157844873747
3687	8805	24550	17.353776263486655	18.623217922606923
3688	13970	19400	15.633500357909808	19.7319587628866
3691	20843	12534	15.96219354219642	21.83660443593426
3693	11106	22255	15.370070232306862	19.478768815996407
3698	11653	21689	16.253325323950914	19.701231038775415
4039	295	33068	29.830508474576273	19.317769444780453
4085	8227	25136	18.220493497022	19.54567154678549
4266	7805	25549	18.46252402306214	20.04775137970175
4267	9228	24123	17.338534893801473	19.17671931351822
4276	6666	26708	14.97149714971497	18.911936498427437
4290	1023	32321	19.35483870967742	18.260573620865692
4307	14577	18800	13.864306784660767	18.79255319148936
4311	13199	20139	15.539055989090084	19.44485823526491
4332	470	32855	15.106382978723405	18.703393699589103
4333	46	33263	36.95652173913043	18.924931605688002
BCAC2020BC	2597	30721	18.983442433577206	19.719410175450015
CMDKP2018AF	7365	25994	16.917854718262053	19.82765253520043
GCST003763	113	33253	16.8141592920354	19.577181006225004
GCST008057	6350	27014	14.36220472440945	19.149329977048936
GCST009131	49	33284	26.53061224489796	19.471818291070786
GCST009158	4633	28737	24.0448953162098	19.153008316804122
GCST009541	3231	30118	17.920148560817083	18.796068796068795
GCST010003	1326	32025	21.71945701357466	22.301327088212332
GCST011364	5268	28062	15.129081245254367	18.323711781056232
GCST90011766	1213	32110	18.961253091508656	19.62005605730302
GCST90011808	4583	28765	14.924721797948942	19.38814531548757
GCST90011809	3894	29456	15.228556753980483	19.931423139598046
GCST90011810	998	32363	18.537074148296593	19.179309705527917
GCST90011811	2010	31334	16.3681592039801	19.595327758983853
GCST90011812	1416	31933	15.889830508474576	19.033601603357027
GCST90011816	150	33208	16.666666666666664	18.884003854492892
GCST90011817	1271	32098	18.017309205350116	19.060377593619542
GCST90011819	1274	32080	18.524332810047095	19.657107231920197
GCST90011820	877	32493	21.55074116305587	19.810420705998215
GCST90013410	6239	27116	14.505529732328897	19.475586369671046
GCST90014023	1004	32352	21.91235059760956	18.93236894164194
GCST90061440	148	33206	19.594594594594593	19.70427031259411
GCST90129435	1878	31481	16.080937167199146	18.44604682189257
GCST90129439	1532	31814	15.208877284595301	18.425850254604892
GCST90129442	3450	29854	17.304347826086957	19.370938567696122
GCST90132223	351	33025	13.675213675213676	19.1218773656321
PGC2019ALCUSE	814	32498	29.238329238329236	19.60736045295095
PGC2019AN	35	33308	40.0	19.96817581361835
PGC2019ASD	26	33288	57.692307692307686	20.46082672434511
PGC2019MDD	4188	29154	19.531996179560647	18.54977018590931
PGC2019PTSD	69	33275	21.73913043478261	19.302779864763338
PGC2021ALZwoUKBB	30	33317	16.666666666666664	18.714169943272204
PGC2022SCZ	301	33030	45.182724252491695	19.022101120193764
