Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
1135	0.7923	0.008	0.2041	0.0589	 0.0005
2029	0.7917	0.0079	0.0093	0.0335	 0.782
2030	0.7919	0.008	-0.0854	0.043	 0.0472
2052	0.795	0.0082	0.0342	0.0323	 0.2892
2	0.7956	0.0083	0.411	0.0377	 1.1034e-27
3437	0.7915	0.0077	0.0431	0.0354	 0.224
3543	0.7915	0.0077	0.0651	0.0695	 0.3492
3603	0.7915	0.0077	0.0116	0.0423	 0.7841
3666	0.7915	0.0077	0.0651	0.0584	 0.265
3669	0.7915	0.0077	0.2696	0.069	 9.2859e-05
3670	0.7915	0.0077	0.1848	0.0642	 0.004
3671	0.7915	0.0077	-0.0468	0.0364	 0.1988
3675	0.7915	0.0077	0.1635	0.0528	 0.0019
3685	0.7915	0.0077	0.0396	0.0356	 0.265
3687	0.7915	0.0077	0.2008	0.0438	 4.4624e-06
3688	0.7915	0.0077	0.1633	0.0379	 1.6746e-05
3691	0.7915	0.0077	0.0713	0.024	 0.0029
3693	0.7915	0.0077	0.1149	0.0354	 0.0012
3698	0.7915	0.0077	0.167	0.0428	 9.4207e-05
4039	0.7935	0.0078	0.0719	0.0325	 0.0268
4085	0.7915	0.0077	0.0615	0.0288	 0.033
4266	0.7935	0.0077	0.05	0.034	 0.1407
4267	0.7937	0.0077	0.1237	0.0344	 0.0003
4276	0.7936	0.0077	0.1797	0.0363	 7.6393e-07
4290	0.7915	0.0077	0.1151	0.0259	 9.1705e-06
4307	0.7915	0.0077	0.2388	0.0289	 1.6012e-16
4311	0.7934	0.0077	0.1281	0.0277	 3.8424e-06
4332	0.7918	0.0078	0.2426	0.0833	 0.0036
4333	0.7931	0.008	0.1139	0.0588	 0.0529
BCAC2020BC	0.7913	0.0077	-0.0165	0.0234	 0.4797
CMDKP2018AF	0.7914	0.0077	0.0589	0.0269	 0.0287
GCST003763	0.7909	0.0081	-0.0821	0.0524	 0.1166
GCST008057	0.7919	0.0078	-0.0421	0.0419	 0.3156
GCST009131	0.7937	0.0082	0.0932	0.0688	 0.1756
GCST009158	0.7935	0.0077	0.0273	0.0435	 0.5306
GCST009541	0.793	0.008	0.1877	0.0372	 4.6438e-07
GCST010003	0.7913	0.0078	-0.206	0.0217	 1.9767e-21
GCST011364	0.7915	0.0078	0.1897	0.0314	 1.6206e-09
GCST90011766	0.7915	0.0078	-0.0481	0.0337	 0.1537
GCST90011808	0.7927	0.0078	0.0186	0.0417	 0.6552
GCST90011809	0.7924	0.0078	-0.0259	0.0558	 0.6422
GCST90011810	0.7924	0.0078	-0.0884	0.0888	 0.3195
GCST90011811	0.7926	0.0078	-0.0211	0.0714	 0.7679
GCST90011812	0.7924	0.0078	0.177	0.0754	 0.0189
GCST90011816	0.7924	0.0078	0.0964	0.0758	 0.2034
GCST90011817	0.7925	0.0078	-0.0652	0.0928	 0.4821
GCST90011819	0.7924	0.0077	-0.0336	0.0986	 0.733
GCST90011820	0.7924	0.0078	-0.0677	0.0799	 0.397
GCST90013410	0.7946	0.0078	0.0512	0.0334	 0.1244
GCST90014023	0.7916	0.0078	0.0309	0.0313	 0.3225
GCST90061440	0.7881	0.0102	-0.0201	0.0466	 0.6664
GCST90129435	0.7922	0.0079	0.0795	0.0669	 0.2343
GCST90129439	0.7922	0.0079	0.2948	0.084	 0.0004
GCST90129442	0.7922	0.0079	0.0212	0.0327	 0.5159
GCST90132223	0.792	0.0079	0.1157	0.0384	 0.0026
PGC2019ALCUSE	0.7922	0.0079	0.0217	0.0365	 0.5519
PGC2019AN	0.7963	0.0086	-0.0823	0.0351	 0.0191
PGC2019ASD	0.7938	0.0081	-0.0787	0.0391	 0.0444
PGC2019MDD	0.7914	0.0078	0.1396	0.0269	 2.0770e-07
PGC2019PTSD	0.7916	0.0082	0.2818	0.0615	 4.5963e-06
PGC2021ALZwoUKBB	0.7921	0.0077	0.0014	0.0596	 0.9807
PGC2022SCZ	0.7932	0.0077	0.0078	0.0211	 0.7133
