Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
3195	0.7915	0.0077	-0.1518	0.0283	 7.7386e-08
3304	0.7915	0.0077	-0.5306	0.0212	 4.2035e-138
3305	0.7915	0.0077	0.2742	0.1208	 0.0232
3325	0.7915	0.0077	0.0727	0.0319	 0.0226
3346	0.7915	0.0077	0.1709	0.059	 0.0038
3348	0.7915	0.0077	-0.5046	0.0548	 3.1165e-20
4066	0.7915	0.0077	-0.3047	0.019	 9.7312e-58
AFB2016BARBAN	0.7915	0.0077	-0.6663	0.0267	 1.6781e-137
ANM2021REPROGEN	0.7919	0.0078	-0.0725	0.0245	 0.0031
EDU2016GRASP	0.7915	0.0078	-0.2612	0.0318	 2.2727e-16
GCST90020091	0.7968	0.0076	-0.0511	0.053	 0.335
GCST90020092	0.7968	0.0076	0.0751	0.0898	 0.4027
GCST90239823	0.7915	0.0078	0.0336	0.0275	 0.2214
GCST90239824	0.7915	0.0077	-0.0321	0.0244	 0.188
GCST90239825	0.7915	0.0078	0.0486	0.0301	 0.1062
GCST90239826	0.7915	0.0078	-0.0348	0.025	 0.1648
GCST90309902	0.7922	0.0078	-0.0854	0.0263	 0.0012
MENOPAUSE2015GRASP	0.7929	0.0084	-0.0813	0.0384	 0.0344
TOWNSEND2016GRASP	0.7915	0.0078	0.2702	0.0541	 5.8774e-07
VITAMIND2017GRASP	0.791	0.0073	0.1716	0.0731	 0.0189
