Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
1135	1.0565	0.0122	-0.0631	0.0632	 0.3178
2029	1.0527	0.0116	-0.2263	0.0372	 1.2251e-09
2030	1.0525	0.0116	-0.0748	0.0419	 0.0747
2052	1.0568	0.0121	-0.062	0.0475	 0.1913
2	1.0612	0.0149	-0.3579	0.0412	 4.0534e-18
3437	1.0557	0.0118	0.0414	0.0419	 0.3233
3543	1.0557	0.0118	-0.1549	0.0735	 0.035
3603	1.0557	0.0118	0.1612	0.0436	 0.0002
3666	1.0557	0.0118	-0.0756	0.0546	 0.1662
3669	1.0557	0.0118	-0.2843	0.0722	 8.2242e-05
3670	1.0557	0.0118	-0.44	0.0763	 7.9791e-09
3671	1.0557	0.0118	0.0746	0.0377	 0.0476
3675	1.0557	0.0118	-0.3404	0.058	 4.3250e-09
3685	1.0557	0.0118	-0.1587	0.0465	 0.0006
3687	1.0557	0.0118	-0.5161	0.0508	 3.2928e-24
3688	1.0557	0.0118	-0.6067	0.0454	 8.3048e-41
3691	1.0557	0.0118	-0.6935	0.027	 1.3975e-145
3693	1.0557	0.0118	-0.6473	0.04	 6.5237e-59
3698	1.0557	0.0118	-0.2845	0.0516	 3.5029e-08
4039	1.0529	0.012	-0.0801	0.0361	 0.0264
4085	1.0524	0.0114	-0.3103	0.0304	 1.8768e-24
4266	1.0525	0.0117	0.0101	0.0344	 0.7691
4267	1.0525	0.0117	-0.1035	0.0323	 0.0014
4276	1.0545	0.0124	-0.2101	0.0403	 1.8983e-07
4290	1.0522	0.0114	-0.2491	0.0325	 1.6309e-14
4307	1.0523	0.0114	-0.3449	0.0326	 4.3140e-26
4311	1.0526	0.0117	-0.1764	0.0328	 7.5850e-08
4332	1.0526	0.0115	-0.1673	0.0816	 0.0403
4333	1.0531	0.0119	-0.1246	0.0665	 0.0608
BCAC2020BC	1.0526	0.0114	-0.1359	0.0253	 7.4801e-08
CMDKP2018AF	1.0523	0.0114	-0.2759	0.0322	 9.8690e-18
GCST003763	1.0434	0.0122	0.2044	0.0673	 0.0024
GCST008057	1.0536	0.0118	-0.1252	0.0517	 0.0154
GCST009131	1.0494	0.0113	-0.0772	0.07	 0.27
GCST009158	1.0524	0.0117	-0.0509	0.0466	 0.2744
GCST009541	1.0537	0.0123	-0.7396	0.0428	 5.3247e-67
GCST010003	1.0515	0.0117	0.0696	0.0209	 0.0009
GCST011364	1.0542	0.0116	-0.666	0.0348	 1.3822e-81
GCST90011766	1.0522	0.0114	0.0476	0.037	 0.1985
GCST90011808	1.0522	0.0117	-0.0658	0.0495	 0.184
GCST90011809	1.0525	0.0117	0.1695	0.0587	 0.0039
GCST90011810	1.0525	0.0116	-0.1661	0.1143	 0.1461
GCST90011811	1.0525	0.0116	-0.0824	0.0734	 0.2615
GCST90011812	1.0525	0.0116	-0.5906	0.0983	 1.8790e-09
GCST90011816	1.0525	0.0117	-0.3745	0.0894	 2.7837e-05
GCST90011817	1.0525	0.0116	-0.1894	0.113	 0.0938
GCST90011819	1.0525	0.0116	-0.0392	0.0969	 0.686
GCST90011820	1.0525	0.0117	-0.063	0.0789	 0.4246
GCST90013410	1.0545	0.0123	0.0346	0.0372	 0.3518
GCST90014023	1.0521	0.0113	-0.1888	0.0397	 1.9911e-06
GCST90061440	1.0517	0.0171	-0.1947	0.0477	 4.4120e-05
GCST90129435	1.0551	0.012	-0.0817	0.0713	 0.2515
GCST90129439	1.0551	0.012	-0.3305	0.0888	 0.0002
GCST90129442	1.0551	0.012	-0.2706	0.0491	 3.5247e-08
GCST90132223	1.0514	0.0114	-0.2304	0.0405	 1.2656e-08
PGC2019ALCUSE	1.052	0.0115	-0.0507	0.0346	 0.1423
PGC2019AN	1.0605	0.0162	0.1296	0.041	 0.0016
PGC2019ASD	1.0558	0.0125	0.0242	0.0448	 0.5883
PGC2019MDD	1.0542	0.0124	-0.1946	0.0322	 1.5367e-09
PGC2019PTSD	1.0526	0.0125	-0.4893	0.0696	 2.0373e-12
PGC2021ALZwoUKBB	1.0493	0.009	0.0254	0.0822	 0.7573
PGC2022SCZ	1.0522	0.0117	-0.0944	0.0264	 0.0003
