Exposure1,Outcome,Exposure2,Method,Estimate_Exposure1,StdErr_Exposure1,Pvalue_Exposure1,Estimate_Exposure2,StdErr_Exposure2,Pvalue_Exposure2,OR_Exposure1,Lower_OR_CI_95%_Exposure1,Upper_OR_CI_95%_Exposure1,OR_Exposure2,Lower_OR_CI_95%_Exposure2,Upper_OR_CI_95%_Exposure2,Heterogeneity_Pvalue,Intercept_Pvalue,Direction_Exposure1,Significance_Exposure1,Direction_Exposure2,Significance_Exposure2
2029,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3669,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PLifespan,3195,IVW,-0.0956474915474404,0.0569783284161313,0.0932174675862313,0.253433483083283,0.0632486382298406,6.15105441115824e-05,0.908784313763722,0.812755449145396,1.01615920239158,1.28844167346738,1.13822058449433,1.45848877497234,5.81523232050101e-16,NA,negative,NS,positive,S
2,PLifespan,3195,MR-Egger,-0.0462797196501569,0.0724610673027731,0.523028565250324,0.211160803345625,0.073921857086682,0.00428284909487041,0.954774855546396,0.828363334085432,1.10047727521656,1.2351109490665,1.06851941234099,1.42767556572677,1.21379769558323e-15,0.271409029705899,negative,NS,positive,S
2030,PLifespan,3195,IVW,-0.00800508041249025,0.00385317773750916,0.0377529548327032,0.284185544538081,0.046018197104933,6.59528794821806e-10,0.992026874918532,0.984563081027858,0.99954725047504,1.32867943709555,1.21408399419374,1.45409136023815,6.64690753985935e-21,NA,negative,S,positive,S
2030,PLifespan,3195,MR-Egger,-0.0127192865341099,0.00685462753252241,0.0635139298674385,0.280544105858058,0.0462638968951454,1.32780098775581e-09,0.987361261723733,0.974184706263203,1.00071603966373,1.3238499309119,1.20908861848756,1.44950387653779,6.86746783692645e-21,0.405478249693987,negative,NS,positive,S
3666,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3543,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3603,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1135,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3670,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3671,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3675,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3685,PLifespan,3195,IVW,-0.0833986396906767,0.0133913283784963,4.73002240645306e-10,0.301645388520107,0.0555165306218791,5.52798281864659e-08,0.919984331841925,0.896151636364226,0.944450845694422,1.352081678003,1.21268024506037,1.50750774694148,6.58431126862583e-45,NA,negative,S,positive,S
3685,PLifespan,3195,MR-Egger,-0.119717624550768,0.0232834300542787,2.72188160837688e-07,0.328711919799234,0.0569539229603067,7.85496906823495e-09,0.887170916636934,0.847594325447894,0.928595451497986,1.38917760337513,1.24244626528389,1.55323772757135,1.77700934923878e-43,0.0573621794034049,negative,S,positive,S
3698,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3687,PLifespan,3195,IVW,-0.107418393967811,0.062569692915315,0.0860193865902348,0.235088994426125,0.0626080032531608,0.000173386339491563,0.898149813902873,0.794489910647813,1.01533459066336,1.26502134357206,1.11893496417784,1.4301805296331,1.08759025685346e-13,NA,negative,NS,positive,S
3687,PLifespan,3195,MR-Egger,-0.18418770064396,0.0830265252272804,0.0265262115327253,0.251541539486703,0.0632061916363831,6.90029378703992e-05,0.831779663594829,0.706862094009848,0.978772825184609,1.28600631899678,1.13616369073966,1.45561090006582,4.57992947031712e-13,0.164011902125151,negative,S,positive,S
3688,PLifespan,3195,IVW,-0.425909708238047,0.0322635567531493,8.66316459653649e-40,0.241134432090391,0.0693250850169906,0.000504577982167915,0.653175315808345,0.613149629228235,0.695813832128278,1.27269211447008,1.1109963945882,1.45792121929855,7.41012738969102e-63,NA,negative,S,positive,S
3688,PLifespan,3195,MR-Egger,-0.452024128323092,0.0485236532193022,1.21331491463659e-20,0.266305864904822,0.0777236260813466,0.000611823459058415,0.636338815751312,0.578607752023163,0.699830043783396,1.30513419238886,1.12071576579297,1.51989943581928,9.03519301501229e-63,0.470536532211465,negative,S,positive,S
3691,PLifespan,3195,IVW,-0.476954132679011,0.0257388681357017,1.17189810842439e-76,0.204054477038776,0.0469433652844114,1.38123898431748e-05,0.620670997156415,0.590135968100675,0.652785980747778,1.22636496036797,1.11856373297628,1.34455549708961,4.04585634132935e-19,NA,negative,S,positive,S
3691,PLifespan,3195,MR-Egger,-0.324044662785126,0.0519755490548943,4.53050572483052e-10,0.1653881029577,0.0471325062600715,0.000449789935574157,0.723217940731021,0.653170723548276,0.800777148972386,1.17985093350294,1.07573956307184,1.29403832774607,1.69282156347084e-16,0.000784999420561962,negative,S,positive,S
4039,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3693,PLifespan,3195,IVW,-0.457446898230377,0.0462375490791237,4.44632006991321e-23,0.204513980013569,0.0791561139027381,0.00977527601605485,0.632897436108623,0.578062956809562,0.692933459780281,1.22692860820445,1.05060689955079,1.43284211275803,3.15032812070767e-56,NA,negative,S,positive,S
3693,PLifespan,3195,MR-Egger,-0.444124889020553,0.0608679486388775,2.95281302441619e-13,0.192970258161277,0.0865627873335696,0.025797149044608,0.64138531384154,0.569255411137209,0.72265473944253,1.21284672069112,1.02358093018616,1.43710880547928,1.71464094808219e-56,0.734555147027767,negative,S,positive,S
4276,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4085,PLifespan,3195,IVW,-0.0279456808151109,0.00509126221976202,4.04331371833233e-08,0.258159181786246,0.0399889353014918,1.076733554188e-10,0.972441187579305,0.962785575734391,0.982193633903722,1.29454487018879,1.19695504394156,1.40009136467946,1.07638857346501e-21,NA,negative,S,positive,S
4085,PLifespan,3195,MR-Egger,-0.0040673446795654,0.00968700852331061,0.674575868581543,0.216837093209001,0.0420867860904416,2.57528078254032e-07,0.995940915763654,0.977209828935465,1.01503103869993,1.24214173233092,1.14378963718767,1.34895091984901,3.05099799787898e-20,0.0038997041830535,negative,NS,positive,S
4266,PLifespan,3195,IVW,-0.019584008266307,0.00951866096491695,0.0396445826417137,0.277776395447904,0.0464740012396058,2.27245489811045e-09,0.980606512675249,0.962481355653384,0.999072997157785,1.32019096349345,1.20525040823594,1.44609300123844,1.18811595457744e-32,NA,negative,S,positive,S
4266,PLifespan,3195,MR-Egger,-0.0278676407458972,0.0182633627733109,0.127040560397024,0.269108206584494,0.0493067037468184,4.81955786249002e-08,0.972517079918173,0.938320380007761,1.00796006447686,1.30879675381114,1.18823268818955,1.44159385599509,9.35203031638175e-33,0.594927167284631,negative,NS,positive,S
4267,PLifespan,3195,IVW,-0.0948883535198675,0.0206992029091942,4.55826126635606e-06,0.295615766470533,0.0437368212132611,1.38978269777319e-11,0.909474468423341,0.87331515043723,0.947130950722435,1.34395366555142,1.2335443326698,1.46424527056912,2.29534409555867e-10,NA,negative,S,positive,S
4267,PLifespan,3195,MR-Egger,-0.0784750398253157,0.0349792707865824,0.0248663470122912,0.296174473341557,0.0438465479869596,1.43036673391847e-11,0.924525135952455,0.863264271492156,0.990133329079485,1.3447047514976,1.23396830364112,1.46537870005624,1.92701611491764e-10,0.560027730758283,negative,S,positive,S
4290,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4333,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4332,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4311,PLifespan,3195,IVW,-0.536750323253473,0.196851178173518,0.00639748980868204,0.279113180535933,0.0468608406514157,2.58148748747866e-09,0.584645076181651,0.397492730751106,0.859914757327918,1.3219569551995,1.20594794359585,1.44912572775696,3.83992395503403e-11,NA,negative,S,positive,S
4311,PLifespan,3195,MR-Egger,0.153056104831403,0.300060209190007,0.609992163218016,0.252704359523265,0.0461272908588873,4.29157000283199e-08,1.16539036113832,0.647224599281873,2.09839782873059,1.28750258268576,1.17620701769606,1.40932920436873,2.98149975077788e-09,0.0029618166033389,positive,NS,positive,S
GCST009131,PLifespan,3195,IVW,-0.0451722263167826,0.0113721877409803,7.12218262763593e-05,0.205905098750024,0.0704385946108067,0.00346469716141164,0.955832848085489,0.934763508016374,0.977377085909107,1.22863659931339,1.07019989984831,1.41052890528802,3.1710887933128e-11,NA,negative,S,positive,S
GCST009131,PLifespan,3195,MR-Egger,-0.025045064896047,0.0195141641900214,0.199341448493894,0.217050547149848,0.0706987274033931,0.00214003486504448,0.97526596077887,0.938668566214366,1.0132902373517,1.24240690067839,1.08164284857618,1.42706523589109,6.68687804625905e-11,0.205319052966581,negative,NS,positive,S
BCAC2020BC,PLifespan,3195,IVW,-0.0358217092332168,0.0052587068219784,9.63277033531068e-12,0.232791750069157,0.03845830970681,1.42090209839664e-09,0.964812295273428,0.954918984958291,0.974808103905735,1.2621186158431,1.17047946386883,1.36093237825162,5.88863441844401e-19,NA,negative,S,positive,S
BCAC2020BC,PLifespan,3195,MR-Egger,-0.0259963339931334,0.0096900266677356,0.00730102041899856,0.238216107009556,0.0386987261179738,7.47666084546074e-10,0.974338661534425,0.956008202198598,0.993020588293535,1.26898339940248,1.17629139520179,1.36897955262424,7.699497754928e-19,0.227462061882042,negative,S,positive,S
4307,PLifespan,3195,IVW,-0.0396295612332909,0.0294583868797772,0.17853721285409,0.265440236258291,0.0576061944466618,4.06869841615399e-06,0.961145418737478,0.907222087405505,1.01827383700715,1.30400491968027,1.16477984527021,1.45987144047457,6.59677073512382e-22,NA,negative,NS,positive,S
4307,PLifespan,3195,MR-Egger,-0.040049591300656,0.0514628565467994,0.436437414566474,0.265596167539401,0.0599795401908348,9.50612013883361e-06,0.960741793535793,0.868561581585063,1.06270506710868,1.30420827069195,1.15955495122678,1.46690694696419,3.72402560506618e-22,0.992037613863102,negative,NS,positive,S
GCST003763,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMDKP2018AF,PLifespan,3195,IVW,-0.0304137238633592,0.00566049740288092,7.74470963500631e-08,0.320812864136466,0.0408523946873649,4.06280299102327e-15,0.970044120116073,0.95934137395214,0.980866269840156,1.3782476371975,1.27219298420104,1.49314339336139,6.64697878213372e-15,NA,negative,S,positive,S
CMDKP2018AF,PLifespan,3195,MR-Egger,-0.0282703650982496,0.00942715565190679,0.00271025282363818,0.321793044388752,0.0410717317560036,4.6920388102713e-15,0.972125502461193,0.954328249017845,0.990254656621566,1.37959923060861,1.27289323869486,1.495250331479,5.0279409214266e-15,0.775940771825923,negative,S,positive,S
GCST008057,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST010003,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST009541,PLifespan,3195,IVW,-0.285354411935828,0.0409937607007107,3.38050502430382e-12,0.212857911830191,0.0659817505760922,0.00125528142457605,0.751747778715596,0.693709368954635,0.814641906387152,1.23720884601337,1.08712182970163,1.40801673449411,1.56992937857756e-20,NA,negative,S,positive,S
GCST009541,PLifespan,3195,MR-Egger,-0.369202494900744,0.0508615955219434,3.90066034892243e-13,0.233383040408014,0.0635600299617582,0.000240798869326145,0.691285414505158,0.625695641297671,0.763750764375586,1.26286511506427,1.11494534043934,1.43040940304559,3.23634561098997e-17,0.00972805940546947,negative,S,positive,S
GCST009158,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011766,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011808,PLifespan,3195,IVW,-0.047028039933754,0.0126348524081561,0.000197581675551338,0.273404957713639,0.0471412448400089,6.64346703231842e-09,0.954060645418013,0.930724140006217,0.977982278539973,1.31443242661212,1.19842490786005,1.44166947198596,8.3562681556465e-13,NA,negative,S,positive,S
GCST90011808,PLifespan,3195,MR-Egger,-0.0159791524858774,0.019376789107473,0.409567883189365,0.289559285357353,0.0471474706571466,8.17120508406446e-10,0.98414783687735,0.947472222444538,1.0222431242696,1.33583863463035,1.21792701180942,1.46516567944411,7.14148335809727e-12,0.0363453859692563,negative,NS,positive,S
GCST90011810,PLifespan,3195,IVW,-0.073609667853798,0.0350585735445561,0.03576231798831,0.280909650703944,0.0558837583578567,4.99049634769063e-07,0.929034255011698,0.867339783348147,0.99511709661621,1.32433394589007,1.1869387152231,1.47763349340839,2.83837848639056e-12,NA,negative,S,positive,S
GCST90011810,PLifespan,3195,MR-Egger,-0.0304798884985227,0.0471422958189502,0.51792271706192,0.288289723888537,0.055736011087237,2.31088871880116e-07,0.969979939624036,0.884370852155552,1.06387617929719,1.33414378145905,1.19607712849527,1.48814786872911,9.55882382393786e-12,0.175051629396899,negative,NS,positive,S
GCST90011811,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011812,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST011364,PLifespan,3195,IVW,-0.428692984766236,0.0376067829991955,4.21239178303224e-30,0.176748478596086,0.0758999037581542,0.0198747038002298,0.65135987589068,0.605075352303662,0.70118487937912,1.19333090711203,1.02837991638792,1.3847398526321,5.02676532266005e-52,NA,negative,S,positive,S
GCST011364,PLifespan,3195,MR-Egger,-0.466603218584007,0.0514520247656834,1.20440227760804e-19,0.238323679622275,0.0949219685004455,0.0120480924791583,0.627128874135424,0.566969829672222,0.693671169419604,1.26911991460477,1.05366716905087,1.52862820913105,2.39222565059222e-51,0.280797749979449,negative,S,positive,S
GCST90011820,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011817,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011809,PLifespan,3195,IVW,0.0457229347849857,0.0139160368917861,0.00101754926038695,0.254235046109352,0.0497017076919529,3.1337960322061e-07,1.04678434324582,1.01861870880689,1.07572878034809,1.2894748546987,1.16978468157671,1.42141150169541,1.81446382523741e-13,NA,positive,S,positive,S
GCST90011809,PLifespan,3195,MR-Egger,0.0429554416864648,0.0185183909112858,0.0203619933351062,0.251694627107248,0.0511865557675991,8.77900148465118e-07,1.04389137977491,1.00668161857793,1.08247651755847,1.28620320571424,1.16342585721094,1.42193735521356,1.18275408355589e-13,0.8196007022576,positive,S,positive,S
GCST90061440,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90013410,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90011816,PLifespan,3195,IVW,-0.105024534835579,0.0215750705486356,1.12810240384111e-06,0.263456683928295,0.0488169283622259,6.78284407533202e-08,0.900302433543113,0.863024953822641,0.939190075852923,1.30142092127877,1.18267107631746,1.4320942215107,1.96729244390308e-09,NA,negative,S,positive,S
GCST90011816,PLifespan,3195,MR-Egger,-0.070601003550975,0.0297499546627131,0.017637262379304,0.23288464504254,0.0516577646359198,6.53733090154451e-06,0.931833616268328,0.879052272701837,0.987784134541712,1.2622358657642,1.14069237707462,1.39673010256057,7.45332501480695e-09,0.0969369369151039,negative,S,positive,S
GCST90011819,PLifespan,3195,IVW,-0.128689543782819,0.0250512081523367,2.79070799191862e-07,0.271481585231442,0.0536898237424566,4.27062913149511e-07,0.879246890841412,0.837118273719715,0.923495662828085,1.31190671317556,1.18086772770888,1.45748688332297,3.64047892955964e-11,NA,negative,S,positive,S
GCST90011819,PLifespan,3195,MR-Egger,-0.136133656516502,0.0323105185063546,2.5167510008946e-05,0.272475555078805,0.0541476675148821,4.85179210570779e-07,0.872725979178918,0.819171125271875,0.929782082444638,1.31321135717199,1.18098180038037,1.46024610036332,2.45361361596462e-11,0.712214987047085,negative,S,positive,S
GCST90129435,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90014023,PLifespan,3195,IVW,-0.0067475591349357,0.00123352233242368,4.49640562170483e-08,0.270674678485607,0.0399068686738116,1.179839679072e-11,0.993275154526233,0.990876610092259,0.99567950494588,1.31084855377418,1.21222463863953,1.41749629248612,2.97313406608759e-49,NA,negative,S,positive,S
GCST90014023,PLifespan,3195,MR-Egger,-0.00104956486007169,0.00168528889506432,0.533428852515687,0.260725873816235,0.0390741458882124,2.51322617360544e-11,0.998950985740479,0.995656728309868,1.00225614264247,1.29787183601142,1.20218477573905,1.4011750412295,2.15564587665445e-43,1.29299911438715e-06,negative,NS,positive,S
GCST90129439,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGC2019ASD,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGC2019AN,PLifespan,3195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCST90129442,PLifespan,3195,IVW,-0.0104084092429376,0.0046486752012644,0.0251555597017504,0.284778356376589,0.0445695525852843,1.66399735458039e-10,0.989645570804077,0.980669465347647,0.998703834900102,1.32946732750775,1.21825807771619,1.45082836489294,4.49788016145036e-09,NA,negative,S,positive,S
