Code,NCases,NControls
1135,20,33329
2029,566,32776
2030,936,32420
2052,1239,32076
2,5,33355
3437,726,32605
3543,5298,28068
3603,1472,31896
3666,8060,25291
3669,10027,23317
3670,10408,22945
3671,8467,24876
3675,7757,25597
3685,9110,24277
3687,8805,24550
3688,13970,19400
3691,20843,12534
3693,11106,22255
3698,11653,21689
4039,295,33068
4085,8227,25136
4266,7805,25549
4267,9228,24123
4276,6666,26708
4290,1023,32321
4307,14577,18800
4311,13199,20139
4332,470,32855
4333,46,33263
BCAC2020BC,2597,30721
CMDKP2018AF,7365,25994
GCST003763,113,33253
GCST008057,6350,27014
GCST009131,49,33284
GCST009158,4633,28737
GCST009541,3231,30118
GCST010003,1326,32025
GCST011364,5268,28062
GCST90011766,1213,32110
GCST90011808,4583,28765
GCST90011809,3894,29456
GCST90011810,998,32363
GCST90011811,2010,31334
GCST90011812,1416,31933
GCST90011816,150,33208
GCST90011817,1271,32098
GCST90011819,1274,32080
GCST90011820,877,32493
GCST90013410,6239,27116
GCST90014023,1004,32352
GCST90061440,148,33206
GCST90129435,1878,31481
GCST90129439,1532,31814
GCST90129442,3450,29854
GCST90132223,351,33025
PGC2019ALCUSE,814,32498
PGC2019AN,35,33308
PGC2019ASD,26,33288
PGC2019MDD,4188,29154
PGC2019PTSD,69,33275
PGC2021ALZwoUKBB,30,33317
PGC2022SCZ,301,33030
